"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","3:52 AM","4:20 AM","5:38 AM","1:15 PM","1:45 PM","6:32 PM","7:15 PM","8:55 PM","10:26 PM","10:40 PM","1:45 PM","3:30 PM"
"2","3:51 AM","4:20 AM","5:38 AM","1:15 PM","1:45 PM","6:33 PM","7:15 PM","8:55 PM","10:27 PM","10:40 PM","1:45 PM","3:30 PM"
"3","3:50 AM","4:20 AM","5:37 AM","1:16 PM","1:45 PM","6:33 PM","7:15 PM","8:56 PM","10:28 PM","10:40 PM","1:45 PM","3:30 PM"
"4","3:49 AM","4:20 AM","5:37 AM","1:16 PM","1:45 PM","6:34 PM","7:15 PM","8:57 PM","10:29 PM","10:40 PM","1:45 PM","3:30 PM"
"5","3:49 AM","5:00 AM","5:37 AM","1:16 PM","1:45 PM","6:34 PM","7:15 PM","8:58 PM","10:30 PM","10:40 PM","1:45 PM","3:30 PM"
"6","3:48 AM","5:00 AM","5:36 AM","1:16 PM","1:45 PM","6:35 PM","7:15 PM","8:58 PM","10:31 PM","10:45 PM","1:45 PM","3:30 PM"
"7","3:47 AM","5:00 AM","5:36 AM","1:16 PM","1:45 PM","6:35 PM","7:15 PM","8:59 PM","10:32 PM","10:45 PM","1:45 PM","3:30 PM"
"8","3:47 AM","5:00 AM","5:36 AM","1:17 PM","1:45 PM","6:36 PM","7:15 PM","9:00 PM","10:33 PM","10:45 PM","1:45 PM","3:30 PM"
"9","3:46 AM","5:00 AM","5:36 AM","1:17 PM","1:45 PM","6:36 PM","7:15 PM","9:00 PM","10:34 PM","10:45 PM","1:45 PM","3:30 PM"
"10","3:46 AM","5:00 AM","5:35 AM","1:17 PM","1:45 PM","6:36 PM","7:15 PM","9:01 PM","10:34 PM","10:45 PM","1:45 PM","3:30 PM"
"11","3:46 AM","5:00 AM","5:35 AM","1:17 PM","1:45 PM","6:37 PM","7:15 PM","9:01 PM","10:35 PM","10:45 PM","1:45 PM","3:30 PM"
"12","3:45 AM","5:00 AM","5:35 AM","1:17 PM","1:45 PM","6:37 PM","7:15 PM","9:02 PM","10:36 PM","10:45 PM","1:45 PM","3:30 PM"
"13","3:45 AM","5:00 AM","5:35 AM","1:18 PM","1:45 PM","6:38 PM","7:15 PM","9:02 PM","10:36 PM","10:45 PM","1:45 PM","3:30 PM"
"14","3:45 AM","5:00 AM","5:35 AM","1:18 PM","1:45 PM","6:38 PM","7:15 PM","9:03 PM","10:37 PM","10:45 PM","1:45 PM","3:30 PM"
"15","3:45 AM","5:00 AM","5:35 AM","1:18 PM","1:45 PM","6:38 PM","7:15 PM","9:03 PM","10:38 PM","10:45 PM","1:45 PM","3:30 PM"
"16","3:45 AM","5:00 AM","5:35 AM","1:18 PM","1:45 PM","6:38 PM","7:15 PM","9:03 PM","10:38 PM","10:45 PM","1:45 PM","3:30 PM"
"17","3:44 AM","5:00 AM","5:35 AM","1:18 PM","1:45 PM","6:39 PM","7:15 PM","9:04 PM","10:39 PM","10:45 PM","1:45 PM","3:30 PM"
"18","3:45 AM","5:00 AM","5:35 AM","1:19 PM","1:45 PM","6:39 PM","7:15 PM","9:04 PM","10:39 PM","10:45 PM","1:45 PM","3:30 PM"
"19","3:45 AM","5:00 AM","5:35 AM","1:19 PM","1:45 PM","6:39 PM","7:15 PM","9:04 PM","10:39 PM","10:45 PM","1:45 PM","3:30 PM"
"20","3:45 AM","5:00 AM","5:36 AM","1:19 PM","1:45 PM","6:40 PM","7:15 PM","9:05 PM","10:40 PM","10:45 PM","1:45 PM","3:30 PM"
"21","3:45 AM","5:00 AM","5:36 AM","1:19 PM","1:45 PM","6:40 PM","7:15 PM","9:05 PM","10:40 PM","10:45 PM","1:45 PM","3:30 PM"
"22","3:45 AM","5:00 AM","5:36 AM","1:20 PM","1:45 PM","6:40 PM","7:15 PM","9:05 PM","10:40 PM","10:45 PM","1:45 PM","3:30 PM"
"23","3:46 AM","5:00 AM","5:36 AM","1:20 PM","1:45 PM","6:40 PM","7:15 PM","9:05 PM","10:40 PM","10:45 PM","1:45 PM","3:30 PM"
"24","3:46 AM","5:00 AM","5:37 AM","1:20 PM","1:45 PM","6:40 PM","7:15 PM","9:05 PM","10:40 PM","10:45 PM","1:45 PM","3:30 PM"
"25","3:46 AM","5:00 AM","5:37 AM","1:20 PM","1:45 PM","6:40 PM","7:15 PM","9:05 PM","10:40 PM","10:45 PM","1:45 PM","3:30 PM"
"26","3:47 AM","5:00 AM","5:37 AM","1:20 PM","1:45 PM","6:41 PM","7:15 PM","9:05 PM","10:40 PM","10:45 PM","1:45 PM","3:30 PM"
"27","3:48 AM","5:00 AM","5:38 AM","1:21 PM","1:45 PM","6:41 PM","7:15 PM","9:05 PM","10:40 PM","10:45 PM","1:45 PM","3:30 PM"
"28","3:48 AM","5:00 AM","5:38 AM","1:21 PM","1:45 PM","6:41 PM","7:15 PM","9:05 PM","10:40 PM","10:45 PM","1:45 PM","3:30 PM"
"29","3:49 AM","5:00 AM","5:39 AM","1:21 PM","1:45 PM","6:41 PM","7:15 PM","9:05 PM","10:39 PM","10:45 PM","1:45 PM","3:30 PM"
"30","3:50 AM","5:00 AM","5:39 AM","1:21 PM","1:45 PM","6:41 PM","7:15 PM","9:05 PM","10:39 PM","10:45 PM","1:45 PM","3:30 PM"
